pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
9ezh	B	NA	0	A	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of single-domain antibody VHH_h4 in complex with human Vsig4	Camelidae; Homo sapiens	camelidae		homo sapiens	Vizarraga, D., Cianferoni, D., Delgado, J., van der Kant, R., Garcia, T., Maragkou, K., Zhang, Z., Dewilde, M., Schymkowitz, J., Rousseau, F., Serrano, L.	1.94	X-RAY DIFFRACTION	0.239	0.194	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezi	B	NA	0	A	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of single-domain antibody VHH_h5 in complex with human Vsig4	Camelidae; Homo sapiens	camelidae		homo sapiens	Vizarraga, D., Cianferoni, D., Delgado, J., van der Kant, R., Garcia, T., Maragkou, K., Zhang, Z., Dewilde, M., Schymkowitz, J., Rousseau, F., Serrano, L.	1.97	X-RAY DIFFRACTION	0.243	0.198	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezu	B	NA	0	A	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h1 in complex with human Vsig4	Camelidae; Homo sapiens	camelidae		homo sapiens	Markovic, I., Savvides, S.N.	1.05	X-RAY DIFFRACTION	0.176	0.157	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezv	B	NA	0	A	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h2 in complex with human Vsig4	Homo sapiens	homo sapiens		homo sapiens	Markovic, I., Savvides, S.N.	1.45	X-RAY DIFFRACTION	0.215	0.174	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezw	B	NA	0	A	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h3 in complex with human Vsig4	Homo sapiens	homo sapiens		homo sapiens	Markovic, I., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.228	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezw	D	NA	0	C	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h3 in complex with human Vsig4	Homo sapiens	homo sapiens		homo sapiens	Markovic, I., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.228	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezw	F	NA	0	E	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h3 in complex with human Vsig4	Homo sapiens	homo sapiens		homo sapiens	Markovic, I., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.228	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
9ezw	H	NA	0	G	protein	NA	v-set and immunoglobulin domain-containing protein 4	IMMUNE SYSTEM	10/29/25	Structure of the single-domain antibody VHH_h3 in complex with human Vsig4	Homo sapiens	homo sapiens		homo sapiens	Markovic, I., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.228	0.190	False	True	IGHV1	NA	NA	None	None	None	None	None
9ub6	B	NA	0	A	protein	NA	glycoprotein n	VIRAL PROTEIN	10/22/25	Crystal structure of SFTSV Gn head with nanobody VHH261	Homo sapiens; SFTS virus HB29	homo sapiens		sfts virus hb29	Wu, Y., Chang, Z., Wu, X.	2.89	X-RAY DIFFRACTION	0.221	0.191	False	True	IGHV1	NA	NA	None	None	None	None	None
5omm	C	NA	0	A | B	protein | protein	NA | NA	capsid protein | capsid protein	VIRAL PROTEIN	10/04/17	GII.10 Vietnam 026 protruding domain in complex with Nanobody Nano-14	Norovirus GII.10; Vicugna pacos	vicugna pacos		norovirus gii.10 | norovirus gii.10	Koromyslova, A.D., Hansman, G.S.	1.7	X-RAY DIFFRACTION	0.193	0.166	False	True	IGHV1	NA	NA	None	None	None	None	None
9gv3	E	NA	0	A	protein	NA	fructose-bisphosphate aldolase	LYASE	10/01/25	Crystal structure of the complex between Nb474 mutant R53A,D125A and Trypanosoma congolense fructose-1,6-bisphosphate aldolase	Trypanosoma congolense IL3000; Vicugna pacos	vicugna pacos		trypanosoma congolense il3000	McNae, I.W., Dornan, J., Walkinshaw, M.D.	1.751	X-RAY DIFFRACTION	0.188	0.160	False	True	IGHV1	NA	NA	None	None	None	None	None
9gv3	F	NA	0	B	protein	NA	fructose-bisphosphate aldolase	LYASE	10/01/25	Crystal structure of the complex between Nb474 mutant R53A,D125A and Trypanosoma congolense fructose-1,6-bisphosphate aldolase	Trypanosoma congolense IL3000; Vicugna pacos	vicugna pacos		trypanosoma congolense il3000	McNae, I.W., Dornan, J., Walkinshaw, M.D.	1.751	X-RAY DIFFRACTION	0.188	0.160	False	True	IGHV1	NA	NA	None	None	None	None	None
9gv3	G	NA	0	C	protein	NA	fructose-bisphosphate aldolase	LYASE	10/01/25	Crystal structure of the complex between Nb474 mutant R53A,D125A and Trypanosoma congolense fructose-1,6-bisphosphate aldolase	Trypanosoma congolense IL3000; Vicugna pacos	vicugna pacos		trypanosoma congolense il3000	McNae, I.W., Dornan, J., Walkinshaw, M.D.	1.751	X-RAY DIFFRACTION	0.188	0.160	False	True	IGHV1	NA	NA	None	None	None	None	None
9gv3	H	NA	0	D	protein	NA	fructose-bisphosphate aldolase	LYASE	10/01/25	Crystal structure of the complex between Nb474 mutant R53A,D125A and Trypanosoma congolense fructose-1,6-bisphosphate aldolase	Trypanosoma congolense IL3000; Vicugna pacos	vicugna pacos		trypanosoma congolense il3000	McNae, I.W., Dornan, J., Walkinshaw, M.D.	1.751	X-RAY DIFFRACTION	0.188	0.160	False	True	IGHV1	NA	NA	None	None	None	None	None
9nn9	B	NA	0	A	protein	NA	ubiquitin-like protein isg15	IMMUNE SYSTEM	10/01/25	ISG15 complexed with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Dabhade, P., Schwartz, T.U.	2.59	X-RAY DIFFRACTION	0.244	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
9nn9	D	NA	0	C	protein	NA	ubiquitin-like protein isg15	IMMUNE SYSTEM	10/01/25	ISG15 complexed with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Dabhade, P., Schwartz, T.U.	2.59	X-RAY DIFFRACTION	0.244	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
9nn9	F	NA	0	E	protein	NA	ubiquitin-like protein isg15	IMMUNE SYSTEM	10/01/25	ISG15 complexed with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Dabhade, P., Schwartz, T.U.	2.59	X-RAY DIFFRACTION	0.244	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
9o99	A	NA	0	NA	NA	NA	NA	PROTEIN BINDING	09/10/25	Structure of the IL-2 Surrogate Cytokine Agonist DR638	Lama glama	lama glama			Trenker, R., Vivona, S., Lupardus, P.J.	1.8	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
9l1j	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/25	sdAbB YERLA mutant	Vicugna pacos	vicugna pacos			Caaveiro, J.M.M., Uto, Y., Tsumoto, K.	1.62	X-RAY DIFFRACTION	0.199	0.160	False	True	IGHV1	NA	NA	None	None	None	None	None
9l1k	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/25	sdAbA YERLS mutant	Vicugna pacos	vicugna pacos			Caaveiro, J.M.M., Fernandez-Perez, J., Tsumoto, K.	1.57	X-RAY DIFFRACTION	0.170	0.136	False	True	IGHV3	NA	NA	None	None	None	None	None
9l1k	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/25	sdAbA YERLS mutant	Vicugna pacos	vicugna pacos			Caaveiro, J.M.M., Fernandez-Perez, J., Tsumoto, K.	1.57	X-RAY DIFFRACTION	0.170	0.136	False	True	IGHV3	NA	NA	None	None	None	None	None
9l1k	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/25	sdAbA YERLS mutant	Vicugna pacos	vicugna pacos			Caaveiro, J.M.M., Fernandez-Perez, J., Tsumoto, K.	1.57	X-RAY DIFFRACTION	0.170	0.136	False	True	IGHV3	NA	NA	None	None	None	None	None
9l1k	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/25	sdAbA YERLS mutant	Vicugna pacos	vicugna pacos			Caaveiro, J.M.M., Fernandez-Perez, J., Tsumoto, K.	1.57	X-RAY DIFFRACTION	0.170	0.136	False	True	IGHV3	NA	NA	None	None	None	None	None
2i26	N	NA	0	L	protein	NA	lysozyme c	IMMUNE SYSTEM	03/06/07	Crystal structure analysis of the nurse shark new antigen receptor ancestral variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Wilson, I.A.	2.5	X-RAY DIFFRACTION	0.292	0.199	False	True	unknown	unknown	unknown	None	None	None	None	None
2i26	O	NA	0	M	protein	NA	lysozyme c	IMMUNE SYSTEM	03/06/07	Crystal structure analysis of the nurse shark new antigen receptor ancestral variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Wilson, I.A.	2.5	X-RAY DIFFRACTION	0.292	0.199	False	True	unknown	unknown	unknown	None	None	None	None	None
2i26	P	NA	0	Q	protein	NA	lysozyme c	IMMUNE SYSTEM	03/06/07	Crystal structure analysis of the nurse shark new antigen receptor ancestral variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Wilson, I.A.	2.5	X-RAY DIFFRACTION	0.292	0.199	False	True	unknown	unknown	unknown	None	None	None	None	None
2i25	N	NA	0	L	protein	NA	lysozyme c	IMMUNE SYSTEM	03/06/07	Crystal structure analysis of the nurse shark New antigen Receptor PBLA8 variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Wilson, I.A.	1.8	X-RAY DIFFRACTION	0.211	0.185	False	True	unknown	unknown	unknown	None	None	None	None	None
2i25	O	NA	0	M	protein	NA	lysozyme c	IMMUNE SYSTEM	03/06/07	Crystal structure analysis of the nurse shark New antigen Receptor PBLA8 variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Wilson, I.A.	1.8	X-RAY DIFFRACTION	0.211	0.185	False	True	unknown	unknown	unknown	None	None	None	None	None
8ht3	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/05/23	Crystal structure of immunoglobulin new antigen receptor variable domain from Okamejei kenojei	Okamejei kenojei	okamejei kenojei			Wen, J., Li, P., Bi, Y.	2.5	X-RAY DIFFRACTION	0.253	0.195	False	True	unknown	unknown	unknown	None	None	None	None	None
8hgi	C	NA	0	A	protein	NA	gfp	FLUORESCENT PROTEIN	09/27/23	Crystal structure of VNAR aGFP14 in complex with GFP	Chiloscyllium plagiosum; synthetic construct	chiloscyllium plagiosum		synthetic construct	Zheng, P., Zhu, C., Jin, T.	1.95	X-RAY DIFFRACTION	0.242	0.186	False	True	unknown	unknown	unknown	None	None	None	None	None
8hgi	D	NA	0	B	protein	NA	gfp	FLUORESCENT PROTEIN	09/27/23	Crystal structure of VNAR aGFP14 in complex with GFP	Chiloscyllium plagiosum; synthetic construct	chiloscyllium plagiosum		synthetic construct	Zheng, P., Zhu, C., Jin, T.	1.95	X-RAY DIFFRACTION	0.242	0.186	False	True	unknown	unknown	unknown	None	None	None	None	None
7spo	C	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/05/22	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with VNAR 3B4	Severe acute respiratory syndrome coronavirus 2; Squalus acanthias	squalus acanthias		severe acute respiratory syndrome coronavirus2 	Shi, K., Aihara, H.	1.92	X-RAY DIFFRACTION	0.226	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
7spo	D	NA	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/05/22	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with VNAR 3B4	Severe acute respiratory syndrome coronavirus 2; Squalus acanthias	squalus acanthias		severe acute respiratory syndrome coronavirus2 	Shi, K., Aihara, H.	1.92	X-RAY DIFFRACTION	0.226	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
7spp	C	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/05/22	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with VNAR 2C02	Severe acute respiratory syndrome coronavirus 2; Squalus acanthias	squalus acanthias		severe acute respiratory syndrome coronavirus2 	Shi, K., Aihara, H.	1.96	X-RAY DIFFRACTION	0.224	0.188	False	True	unknown	unknown	unknown	None	None	None	None	None
7fbk	C	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/22	Crystal structure of SARS-CoV-2 receptor binding domain N501Y mutant in complex with neutralizing nanobody 20G6	Chiloscyllium plagiosum; Severe acute respiratory syndrome coronavirus 2	chiloscyllium plagiosum		severe acute respiratory syndrome coronavirus2 	Zhu, J., Xu, T., Feng, B., Liu, J.	1.9	X-RAY DIFFRACTION	0.239	0.197	False	True	unknown	unknown	unknown	None	None	None	None	None
7fbk	D	NA	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/22	Crystal structure of SARS-CoV-2 receptor binding domain N501Y mutant in complex with neutralizing nanobody 20G6	Chiloscyllium plagiosum; Severe acute respiratory syndrome coronavirus 2	chiloscyllium plagiosum		severe acute respiratory syndrome coronavirus2 	Zhu, J., Xu, T., Feng, B., Liu, J.	1.9	X-RAY DIFFRACTION	0.239	0.197	False	True	unknown	unknown	unknown	None	None	None	None	None
5l8j	B	NA	0	A	protein	NA	aurora kinase a	TRANSFERASE	07/20/16	Aurora-A kinase domain in complex with vNAR-D01 S93R	Homo sapiens; Orectolobus maculatus	orectolobus maculatus		homo sapiens	Burgess, S.G., Bayliss, R.	1.68	X-RAY DIFFRACTION	0.231	0.199	False	True	unknown	unknown	unknown	None	None	None	None	None
5l8k	B	NA	0	A	protein	NA	aurora kinase a	TRANSFERASE	07/20/16	Aurora-A kinase domain in complex with vNAR-D01 (crystal form 2)	Homo sapiens; Orectolobus maculatus	orectolobus maculatus		homo sapiens	Burgess, S.G., Bayliss, R.	1.79	X-RAY DIFFRACTION	0.235	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
5l8l	B	NA	0	A	protein	NA	aurora kinase a	TRANSFERASE	07/20/16	Aurora-A kinase domain in complex with vNAR-D01 (crystal form 1)	Homo sapiens; Orectolobus maculatus	orectolobus maculatus		homo sapiens	Burgess, S.G., Bayliss, R.	1.67	X-RAY DIFFRACTION	0.223	0.191	False	True	unknown	unknown	unknown	None	None	None	None	None
3moq	A	NA	0	NA	NA	NA	NA	NEUROPEPTIDE, IMMUNE SYSTEM	02/16/11	Amyloid beta(18-41) peptide fusion with new antigen receptor variable domain from sharks	Homo sapiens; Orectolobus maculatus	orectolobus maculatus, homo sapiens			Streltsov, V.A.	2.054	X-RAY DIFFRACTION	0.249	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
3moq	B	NA	0	NA	NA	NA	NA	NEUROPEPTIDE, IMMUNE SYSTEM	02/16/11	Amyloid beta(18-41) peptide fusion with new antigen receptor variable domain from sharks	Homo sapiens; Orectolobus maculatus	orectolobus maculatus, homo sapiens			Streltsov, V.A.	2.054	X-RAY DIFFRACTION	0.249	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
3moq	C	NA	0	NA	NA	NA	NA	NEUROPEPTIDE, IMMUNE SYSTEM	02/16/11	Amyloid beta(18-41) peptide fusion with new antigen receptor variable domain from sharks	Homo sapiens; Orectolobus maculatus	orectolobus maculatus, homo sapiens			Streltsov, V.A.	2.054	X-RAY DIFFRACTION	0.249	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
3moq	D	NA	0	NA	NA	NA	NA	NEUROPEPTIDE, IMMUNE SYSTEM	02/16/11	Amyloid beta(18-41) peptide fusion with new antigen receptor variable domain from sharks	Homo sapiens; Orectolobus maculatus	orectolobus maculatus, homo sapiens			Streltsov, V.A.	2.054	X-RAY DIFFRACTION	0.249	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
2z8w	C	NA	0	B	protein	NA	apical membrane antigen 1	IMMUNE SYSTEM	11/27/07	Structure of an IgNAR-AMA1 complex	Orectolobus maculatus; Plasmodium falciparum	orectolobus maculatus		plasmodium falciparum	Streltsov, V.A., Henderson, K.A., Batchelor, A.H., Coley, A.M., Nuttall, S.D.	2.45	X-RAY DIFFRACTION	0.282	0.189	False	True	unknown	unknown	unknown	None	None	None	None	None
2z8w	D	NA	0	A	protein	NA	apical membrane antigen 1	IMMUNE SYSTEM	11/27/07	Structure of an IgNAR-AMA1 complex	Orectolobus maculatus; Plasmodium falciparum	orectolobus maculatus		plasmodium falciparum	Streltsov, V.A., Henderson, K.A., Batchelor, A.H., Coley, A.M., Nuttall, S.D.	2.45	X-RAY DIFFRACTION	0.282	0.189	False	True	unknown	unknown	unknown	None	None	None	None	None
2ywz	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/07	Structure of new antigen receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.21	X-RAY DIFFRACTION	0.254	0.185	False	True	unknown	unknown	unknown	None	None	None	None	None
2ywy	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/07	Structure of new antigen receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.71	X-RAY DIFFRACTION	0.270	0.180	False	True	unknown	unknown	unknown	None	None	None	None	None
2ywy	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/07	Structure of new antigen receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.71	X-RAY DIFFRACTION	0.270	0.180	False	True	unknown	unknown	unknown	None	None	None	None	None
2ywy	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/07	Structure of new antigen receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.71	X-RAY DIFFRACTION	0.270	0.180	False	True	unknown	unknown	unknown	None	None	None	None	None
2ywy	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/07	Structure of new antigen receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.71	X-RAY DIFFRACTION	0.270	0.180	False	True	unknown	unknown	unknown	None	None	None	None	None
1ves	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/24/04	Structure of New Antigen Receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.18	X-RAY DIFFRACTION	0.247	0.176	False	True	unknown	unknown	unknown	None	None	None	None	None
1ves	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/24/04	Structure of New Antigen Receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.18	X-RAY DIFFRACTION	0.247	0.176	False	True	unknown	unknown	unknown	None	None	None	None	None
1ver	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/24/04	Structure of New Antigen Receptor variable domain from sharks	Orectolobus maculatus	orectolobus maculatus			Streltsov, V.A.	2.82	X-RAY DIFFRACTION	0.254	0.166	False	True	unknown	unknown	unknown	None	None	None	None	None
1t6v	N	NA	0	L	protein	NA	lysozyme c	HYDROLASE/IMMUNE SYSTEM	08/24/04	Crystal structure analysis of the nurse shark new antigen receptor (NAR) variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Dooley, H., Flajnik, M.F., Wilson, I.A.	1.7	X-RAY DIFFRACTION	0.221	0.194	False	True	unknown	unknown	unknown	None	None	None	None	None
1t6v	O	NA	0	M	protein	NA	lysozyme c	HYDROLASE/IMMUNE SYSTEM	08/24/04	Crystal structure analysis of the nurse shark new antigen receptor (NAR) variable domain in complex with lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Dooley, H., Flajnik, M.F., Wilson, I.A.	1.7	X-RAY DIFFRACTION	0.221	0.194	False	True	unknown	unknown	unknown	None	None	None	None	None
1sq2	N	NA	0	L	protein	NA	lysozyme c	HYDROLASE/IMMUNE SYSTEM	08/24/04	Crystal Structure Analysis of the Nurse Shark New Antigen Receptor (NAR) Variable Domain in Complex With Lysozyme	Gallus gallus; Ginglymostoma cirratum	ginglymostoma cirratum		gallus gallus	Stanfield, R.L., Dooley, H., Flajnik, M.F., Wilson, I.A.	1.45	X-RAY DIFFRACTION	0.225	0.196	False	True	unknown	unknown	unknown	None	None	None	None	None
9u8g	E	NA	0	B	protein	NA	transmembrane protease serine 2 catalytic chain	IMMUNE SYSTEM	07/30/25	Crystal structure of TMPRSS2 in complex with nanobody77_10	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Duan, Y., Zhao, Z., Liu, X., Wang, H., Yang, H.	2	X-RAY DIFFRACTION	0.230	0.193	False	True	IGHV3	NA	NA	None	None	None	None	None
9u8g	F	NA	0	D	protein	NA	transmembrane protease serine 2 catalytic chain	IMMUNE SYSTEM	07/30/25	Crystal structure of TMPRSS2 in complex with nanobody77_10	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Duan, Y., Zhao, Z., Liu, X., Wang, H., Yang, H.	2	X-RAY DIFFRACTION	0.230	0.193	False	True	IGHV3	NA	NA	None	None	None	None	None
9jd0	F	NA	0	D	protein	NA	transmembrane protease serine 2 catalytic chain	ANTIVIRAL PROTEIN	07/30/25	Crystal structure of TMPRSS2 in complex with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Wang, H., Zhao, Z., Liu, X., Duan, Y., Yang, H.	2	X-RAY DIFFRACTION	0.221	0.188	False	True	IGHV3	NA	NA	None	None	None	None	None
9jd0	E	NA	0	C	protein	NA	transmembrane protease serine 2 catalytic chain	ANTIVIRAL PROTEIN	07/30/25	Crystal structure of TMPRSS2 in complex with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Wang, H., Zhao, Z., Liu, X., Duan, Y., Yang, H.	2	X-RAY DIFFRACTION	0.221	0.188	False	True	IGHV3	NA	NA	None	None	None	None	None
9h39	C	NA	0	A	protein	NA	lysm type receptor kinase	PLANT PROTEIN	07/16/25	Crystal structure of Lotus japonicus CHIP13 extracellular domain in complex with a nanobody	Lama glama; Lotus japonicus	lama glama		lotus japonicus	Gysel, K., Andersen, K.R.	1.66	X-RAY DIFFRACTION	0.225	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
